Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
844828,1/2/1987,NA,A92,M,fl,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,3,3,5,5,0,5,5,5,3,3,0,0,0,0,0,0,0,0,0
847931,9/20/1998,NA,A93,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,1,5,3,5,5,3,3,0,3,5,5,0,1,1,1
843513,9/12/2000,NA,A94,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unringed,NA,NA,A94,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
847860,1/10/1999,NA,A95,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,3,3,3,2,1,5,3,3,0,0,0,0,0
847936,9/23/1998,NA,A96,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0
847888,4/10/1997,NA,A97,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,5,3,3,3,5,3,3,1,3,1,5,3,1,0,1
844492,9/27/1983,YNY,A98,M,ad,0,1,5,3,3,0,1,3,5,5,3,3,0,3,3,5,0,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1
847980,9/10/1999,NA,A99,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,3,3,0,5,5,5,5,3,3,0,0,0,0
847979,1/10/1999,NA,B00,NA,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0
847775,10/23/1991,NA,B01,F,ad,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,3,5,3,1,3,1,5,3,3,1,3,5,3,1,5,3
844577,9/13/1983,GNW,B02 now B88,M,ad,0,1,0,0,5,0,3,3,3,1,3,3,1,3,0,3,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
858559,1/9/1999,NA,B03,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,5,3,3,0,5,5,5,3,0,0,0,0,0,0
847938,9/23/1998,NA,B04,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,0,5,3,5,3,5,3,3,3,1,3,5,3,0,0
